ID,UF_CLIENTID_BANK,UF_CLIENTID_FOND,UF_GUID_AP
332,4238,999-9003-000034402,6D659F65-9E0B-47AA-A675-206B36F17454
331,4152,999-9003-000034316,8E8FFCCC-68AC-4F63-A3EB-A7EA45910989
330,4075,999-9003-000034239,1C6885B8-F668-4F2F-890D-A1DFE43D2DAB
329,4054,999-9003-000034218,DD6E1A23-42EA-4AA2-AC34-BF88E3E80B20
328,4015,999-9003-000034179,7FE76C90-55D8-4861-B9B9-9BAB284C9D44
327,4014,999-9003-000034178,43815728-FC71-4647-8B55-367915144B0F
326,3862,999-9003-000034026,E9A4FF73-5B1D-42E6-B596-55779FE619D6
325,3812,999-9003-000033976,FD989389-2F75-4261-9D1D-9833E218CCDA
324,3749,999-9003-000033913,3DE66364-00D8-486E-BAE5-637DFCE8FC81
323,3638,999-9003-000033802,867B98B6-C066-4949-BFE0-4AD7531B16EE
322,3545,999-9003-000033709,36A127C0-A9FE-4BD1-84E4-D5452E521877
321,3541,999-9003-000033705,26B624D6-CAA7-48CB-A345-1BB94A77ECE7
320,3371,999-9003-000033535,2536FD38-8EAE-452B-A32F-311A3C90E6DF
319,3369,999-9003-000033533,53BC5781-5C1F-4D1D-95E9-80A77CEEF374
318,3348,999-9003-000033512,9D7AEDCC-49CD-4C8B-8EAB-9DAC2661388F
317,3302,999-9003-000033466,3F391DFE-17C0-4A68-B5D3-361E2DC5B1E4
316,3236,999-9003-000033400,EABFB8F9-721A-4820-BEE1-FDF2D442B314
315,3156,999-9003-000033320,7CE24D55-B1C4-4100-9A81-2B8FBB0FD7EE
314,3152,999-9003-000033316,5B03B373-E920-4BA8-8316-30BA3BF9F003
313,3032,999-9003-000033196,2C1681A4-53B2-4576-8DC3-520A990D7F00
312,3027,999-9003-000033191,79AC073C-518A-4389-AF21-F919342F9398
311,3020,999-9003-000033184,8FBF9E06-C2E9-4EEE-9ADE-CC6948FBB96D
310,2958,999-9003-000033122,7F6686C5-0E3A-4D20-9125-413A3470ACB0
309,2950,999-9003-000033114,A66CE446-C05A-4B8A-A37B-76FC42D96E7A
308,2929,999-9003-000033093,36326C24-0815-4198-807C-98A8EC8B89FE
307,2841,999-9003-000033005,38A9D02F-D387-4DD5-AA12-866E7D5C71AD
